Source,GoogleTranslate,human1,human2,human3,human4
"Чичикову осталось сделать то же самое движенье губами, которое делает человек, как дело идет на нуль и оканчивается ничем.","It remains for Chichikov to make the same movement with his lips that a person makes, as things go to zero and end in nothing.","Tchitchikov felt inclined to make that movement of the lips which a man makes when a thing is no good, and is ending in nothing.",“What a pity!” thought Chichikov. “At this rate it will not be long before this man has no property at all left. I must hurry my departure.”,It remained for Chichikov to make the sort of movement with his lips that a man makes when a deal comes to nought and ends in nothing.,
"— Да зачем же мне шарманка? Ведь я не немец, чтобы, тащася с ней по дорогам, выпрашивать деньги.","- But why do I need a hurdy-gurdy? After all, I'm not a German, so that, trudging along the roads with her, begging for money.","“But what do I want with a hurdy-gurdy , I am not a German to go trudging about the roads with it, begging.”","“Come, come! What should I want with a barrel-organ? I am not a German, to go hauling it about the roads and begging for coppers.”","“But what do I need a barrel organ for? Am I some kind of German, to go dragging myself over the roads begging for money?”","“But what would I be doing with a hurdy-gurdy? For I’m no German, to be lugging it up and down all the roads, begging for coppers.”"
"— Как же так вдруг решился?.. — начал было говорить Василий, озадаченный не на шутку таким решеньем, и чуть было не прибавил: «И еще замыслил ехать с человеком, которого видишь в первый раз, который, может быть, и дрянь, и черт знает что!» И, полный недоверия, стал он рассматривать искоса Чичикова и увидел, что он держался необыкновенно прилично, сохраняя все то же приятное наклоненье головы несколько набок и почтительно-приветное выражение в лице, так что никак нельзя было узнать, какого роду был Чичиков.","“How did you decide so suddenly? ..” Vasily began to say, seriously puzzled by such a decision, and almost added: “And he also planned to go with a man whom you see for the first time, who, perhaps, is rubbish, and the devil knows what!” And, full of distrust, he began to scrutinize Chichikov sideways and saw that he behaved unusually decently, retaining the same pleasant inclination of his head somewhat to one side and a respectfully friendly expression on his face, so that it was by no means possible to find out what kind of Chichikov he was.","“How did you come to settle it so quickly?” Vassily was beginning, genuinely puzzled at such a decision, and he was almost adding: “And settled to go too with a man you have never seen before, who may be a rascal, and goodness knows what!” And filled with mistrust he looked askance at Tchitchikov, and saw that he was still standing with perfect decorum, still politely holding his head a little on one side and still maintaining the respectfully affable expression on his face, so that it was impossible to say what kind of a man he was.","“Perhaps it will rid me of my melancholy.” “What has made you come to such a sudden decision?” asked the perplexed Vassili (very nearly he added: “Fancy going travelling with a man whose acquaintance you have just made, and who may turn out to be a rascal or the devil knows what!” But, in spite of his distrust, he contented himself with another covert scrutiny of Chichikov, and this time came to the conclusion that there was no fault to be found with his exterior).","“How did you decide so suddenly …?” Vassily started to say, seriously perplexed by such a decision, and he almost added: “ And, what’s more, think of going with a man you’ve never seen before, who may be trash or devil knows what!” And, filled with mistrust, he began studying Chichikov out of the corner of his eye, and saw that he behaved with extraordinary decency, keeping his head agreeably inclined a bit to one side, and with the same respectfully cordial expression on his face, so that there was no way of knowing what sort of man Chichikov was.",
"— Знаем мы вас, как вы плохо играете! — сказал Ноздрев, выступая шашкой.","- We know you, how badly you play! - said Nozdryov, speaking with his saber.","“I know what sort of a poor player you are!” said Nozdryov, moving forward a draught.","“Ah! I know you and your poor play,” repeated Nozdrev, moving a second chessman. “I say again that it is a long time since last I had a chessman in my hand.”","“We know what a poor player you are!” said Nozdryov, advancing a piece.","“We know all about you fellows who claim to play poorly!” said Nozdrev, advancing one of his checkers."
"Но дверь растворилась. Ротозей Емельян и вор Антошка явились с салфетками, накрыли стол, поставили поднос с шестью графинами разноцветных настоек. Скоро вокруг подносов и графинов обстановилось ожерелье тарелок — икра, сыры, соленые грузди, опенки, да новые приносы из кухни чего-то в закрытых тарелках, сквозь которые слышно было ворчавшее масло. Ротозей Емельян и вор Антошка были народ хороший и расторопный. Названья эти хозяин давал только потому, что без прозвищ все как-то выходило пресно, а он пресного не любил: сам был добр душой, но словцо любил пряное. Впрочем, и люди за это не сердились.","But the door opened. Rotozei Yemelyan and the thief Antoshka came with napkins, set the table, put down a tray with six decanters of multi-colored tinctures. Soon around the trays and decanters a necklace of plates was arranged - caviar, cheeses, salted milk mushrooms, mushrooms, and new bringings from the kitchen of something in closed plates, through which grumbled butter could be heard. Rotozei Emelyan and the thief Antoshka were good and efficient people. The owner gave these names only because without nicknames everything somehow came out insipid, and he did not like insipid things: he himself was kind in soul, but he liked spicy words. However, people weren't angry about it either.","But the door opened. The sluggard Emelyan and the thief Antoshka made their appearance with table napkins, laid the table, set a tray with six decanters of various coloured homemade wines; soon round the trays and decanters there was a necklace of plates—caviare, cheese, salted mushrooms of different kinds, and something was brought in from the kitchen covered with a plate, under which could be heard the hissing of butter. The sluggard Emelyan and the thief Antoshka were quick and excellent fellows. Their master gave them those titles because to address them without nicknames seemed tame and flat, and he did not like anything to be so; he was a kind-hearted man, but liked to use words of strong flavour. His servants did not resent it, however.","At this moment the door opened, and the “gawk” and the “thief” in question made their appearance with napkins and a tray—the latter bearing six decanters of variously-coloured beverages. These they placed upon the table, and then ringed them about with glasses and platefuls of every conceivable kind of appetiser. That done, the servants applied themselves to bringing in various comestibles under covers, through which could be heard the hissing of hot roast viands. In particular did the “gawk” and the “thief” work hard at their tasks. As a matter of fact, their appellations had been given them merely to spur them to greater activity, for, in general, the barin was no lover of abuse, but, rather, a kind-hearted man who, like most Russians, could not get on without a sharp word or two. That is to say, he needed them for his tongue as he need a glass of vodka for his digestion. What else could you expect?","But the door opened. The gawk Emelyan and the thief Antoshka appeared with napkins, laid the table, set down a tray with six carafes filled with varicolored liqueurs. Soon, around the tray and the carafes lay a necklace of plates—caviar, cheeses, salted mushrooms of various sorts, and from the kitchen a newly brought something on covered dishes, from which came a gurgling of butter. The gawk Emelyan and the thief Antoshka were fine and efficient folk. The master had given them these appellations only because everything came out somehow insipid without nicknames, and he did not like insipid things; he himself had a good heart, yet he loved a spicy phrase. Anyhow, his servants were not angered by it.",
— Будто нет уже средств?,- As if there are no funds already?,“Haven’t you any other means?”,“How could there be?”,“Are there no ways?”,
"Чичиков тот же час приказал подать экипаж и отправился к юрисконсульту. Этот юрисконсульт был опытности необыкновенной. Уже пятнадцать лет как он находился под судом, и так умел распорядиться, что никак нельзя было отрешить от должности. Все знали его, за подвиги его следовало бы шесть раз уже послать на поселенье. Кругом и со всех сторон был он в подозрениях, но никаких нельзя было возвести явных и доказанных улик. Тут было действительно что-то таинственное, и его бы можно было смело признать колдуном, если бы история, нами описанная, принадлежала временам невежества.","Chichikov immediately ordered the crew to be brought in and went to the legal adviser. This legal adviser was of extraordinary experience. For fifteen years he had been on trial, and he knew how to dispose of things so well that it was impossible to remove him from his post. Everyone knew him, for his exploits he should have been sent to the settlement six times already. All around and on all sides he was in suspicion, but no clear and proven evidence could be erected. There was something really mysterious here, and he could be safely recognized as a sorcerer if the story we have described belonged to the times of ignorance.","Tchitchikov immediately ordered his carriage and set out to visit a lawyer. This lawyer was a man of exceptional experience. He had been on his trial for the last fifteen years, and he had somehow managed to make it impossible that he should be dismissed from his post. Every one knew that he deserved, six times over deserved, to be sent to a penal settlement for his exploits. He was suspected on all sides, but it was never possible to bring complete proof and evidence against him. There really was something mysterious about it, and we might confidently have called him a sorcerer if our story had been cast in the dark ages.","How, after this—after the guest had shown such innocent affection for the little one, and magnanimously paid for his so doing with a brand-new suit—could the father remain obdurate?","Chichikov straightaway ordered the carriage readied and went to see a lawyer. This lawyer was a man of extraordinary experience. For fifteen years he had been on trial himself, but he had managed so that it was quite impossible to remove him from his post. Everyone knew him, and knew that he ought to have been sent into exile six times over for his deeds. There were suspicions of him all around and on every side, yet it was impossible to present any clear and proven evidence. Here there was indeed something mysterious, and he might have been boldly recognized as a sorcerer if the story we are telling belonged to the times of ignorance.",
"— Право, — отвечала помещица, — мое такое неопытное вдовье дело! лучше ж я маненько повременю, авось понаедут купцы, да примерюсь к ценам.","“Really,” answered the landowner, “such an inexperienced widow’s business of mine! Well, I’d better wait a little, maybe merchants will come in large numbers, but I’ll try on prices.","“Really,” answered the old lady, “I am an inexperienced widow; I had better wait a little, maybe the dealers will be coming and I shall find out about prices.”","“True,” his hostess replied. “But how strangely business comes to me as a widow! Perhaps I had better wait a little longer, seeing that other buyers might come along, and I might be able to compare prices.”","“Really,” the lady landowner replied, “I’m so inexperienced, what with being a widow and all! I’d better take a little time, maybe merchants will come by, I’ll check on the prices.”","“Really, now,” answered the landed proprietress, “mine is but a poor widow woman’s lot! It would be better if I mark time a bit; maybe the merchants will come riding this way, and I’ll see what the prices for dead souls are like nowadays.”"
"— Знаете ли, Петр Петрович? отдайте мне на руки это — детей, дела; оставьте и семью вашу, и детей: я их приберегу. Ведь обстоятельства ваши таковы, что вы в моих руках: ведь дело идет к тому, чтобы умирать с голоду. Тут уже на все нужно решаться. Знаете ли вы Ивана Потапыча?","Do you know, Pyotr Petrovich? give me this in my arms - children, affairs; leave your family and children: I will save them. After all, your circumstances are such that you are in my hands: after all, it is a matter of dying of hunger. This is where everything needs to be decided. Do you know Ivan Potapych?","“Do you know what, Pyotr Petrovitch; put all that, the care of your children and your affairs into my hands. Leave your wife and your children, I will take care of them. Your circumstances are such, you know, that you are really in my hands; if things go on like this you’ll starve. In your position you must be ready to do anything. Do you know Ivan Potapitch?”","“You will do well to hearken unto Him who is merciful,” he said. “But remember also that, in the eyes of the All-Merciful, honest toil is of equal merit with a prayer. Therefore take unto yourself whatsoever task you may, and do it as though you were doing it, not unto man, but unto God. Even though to your lot there should fall but the cleaning of a floor, clean that floor as though it were being cleaned for Him alone. And thence at least this good you will reap: that there will remain to you no time for what is evil—for card playing, for feasting, for all the life of this gay world. Are you acquainted with Ivan Potapitch?”","“You know what, Pyotr Petrovich? hand it all over to me—your children, your affairs; leave your family, and the children: I’ll take care of them. Your circumstances are such that you are in my hands; you’re heading for starvation. Here you must be prepared to do anything. Do you know Ivan Potapych?”",
— Какого рода сукон-с? английских мануфактур или отечественной фабрикации предпочитаете?,— What kind of cloth-sir? do you prefer English manufactories or domestic fabrications?,"Then putting his hat on his head and leaning over with both hands on the counter, said: “What sort of cloth? Do you prefer it of English make or of home manufacture?”","“Sir, I beg of you to inspect my goods,” said a tradesman as Chichikov was passing his establishment.","“What sort of cloth, sir? Of English manufacture, or do you prefer domestic?”",
Чувство содроганья пробежало по всем жилам князя.,A feeling of shudder ran through all the veins of the prince.,A shudder of repulsion ran through every fibre of the prince.,“Summon the escort to remove him.”,A shuddering sensation ran through the prince’s every fiber.,
"— Могу сказать, что получите первейшего сорта, лучше которого нет в обеих столицах, — говорил купец, потащившись доставать сверху штуку; бросил ее ловко на стол, разворотил с другого конца и поднес к свету. — Каков отлив-с! Самого модного, последнего вкуса!","“I can say that you will get the first grade, the best of which is not found in both capitals,” said the merchant, dragging himself to get a piece from above; he threw it deftly on the table, turned it around at the other end, and held it up to the light. - What a low tide! The most fashionable, latest taste!","“I may say that I can give you a first-class article as good as anything in Petersburg or Moscow,” said the shopkeeper, clambering up to get a roll of cloth; he flung it lightly on the counter, unrolled it from the other end, and held it up to the light. “ What a sheen! The most fashionable, the latest style!”","“I have cloths of the finest kind,” replied the tradesman, raising his cap with one hand, and pointing to his shop with the other. Chichikov entered, and in a trice the proprietor had dived beneath the counter, and appeared on the other side of it, with his back to his wares and his face towards the customer. Leaning forward on the tips of his fingers, and indicating his merchandise with just the suspicion of a nod, he requested the gentleman to specify exactly the species of cloth which he required.","“I may say that you will get the foremost sort, of which there is none better in either capital,” the merchant said as he hoisted himself to the upper shelf to get the bolt; he flung it down adroitly onto the counter, unrolled it from the other end, and held it to the light. “What play, sir! The most fashionable, the latest taste!”",
"— Андрей Иванович, помилуйте! — сказал он, взявши его за обе руки. — Какое ж оскорбление? что ж тут оскорбительного в слове ты?","- Andrey Ivanovich, have mercy! he said, taking both his hands. - What kind of insult? what is offensive in the word you?","“Andrey Ivanovitch, upon my soul!” said he, gripping both his hands: “Where is the insult? What is there insulting in the word ‘thou’ ?”","“Andrei Ivanovitch,” he said at length, “what was there to take offence at?” “Nothing, as regards the actual words spoken,” replied the other. “The offence lay, rather, in the insult conveyed in the General’s tone.”","“Andrei Ivanovich, for pity’s sake!” he said, taking both his hands. “Where’s the insult? what’s insulting in one familiar word?”",
"— Да шашку-то, — сказал Чичиков и в то же время увидел перед самым носом своим другую, которая, как казалось, пробиралась в дамки; откуда она взялась это один только бог знал. — Нет, — сказал Чичиков, вставши из-за стола, — с тобой нет никакой возможности играть! Этак не ходят, по три шашки вдруг!","“Yes, a checker,” said Chichikov, and at the same time he saw in front of his very nose another one, which, as it seemed, was making its way into the kings; where it came from, only God knew. ""No,"" said Chichikov, getting up from the table, ""there is no way to play with you!"" They don’t walk like that, all of a sudden three checkers!","“That draught there,” said Tchitchikov, and at the same moment saw almost under his nose another which had, it seemed, reached the point of becoming a king. Where it had come from, goodness only knows. “No,” said Tchitchikov, getting up from the table. “It is quite impossible to play with you. You can’t play three moves at once!”","And almost as Chichikov spoke he saw a third chessman coming into view between the queens. God only knows whence that chessman had materialised. “No, no!” shouted Chichikov as he rose from the table. “It is impossible to play with a man like you. People don’t move three pieces at once.”","“That piece there,” said Chichikov, and just then he saw almost under his very nose another piece that seemed to be sneaking towards being kinged; where it had come from God only knew. “No,” said Chichikov, getting up from the table, “it’s absolutely impossible to play with you! You can’t move like that, three pieces at a time!”","“Why, that checker, now,” said Chichikov, and at the same moment perceived, almost under his very nose, still another checker, which, so it seemed, was trying to sneak through into the king’s row. Whence it had bobbed up, God alone could tell. “No,” said Chichikov, getting up from the table, “it’s absolutely impossible to play with you. People don’t move like that, three checkers at one time!”"
"— Как честный человек говорю, что выпил, — отвечал Ноздрев.","“As an honest man, I say that I drank,” answered Nozdryov.","“As a man of honor I tell you I did,” answered Nozdryov.","“But I did, I give my word of honour,” retorted Nozdrev.","“As I’m an honest man, I say I did,” replied Nozdryov.","“As I’m an honest man, I’m telling you I did drink that many,” answered Nozdrev."
Чичиков оторопел.,Chichikov was taken aback.,Tchitchikov was aghast.,"“Never mind, never mind; it is nothing,” said Chichikov as he strove to communicate to his features as cheerful an expression as possible.",Chichikov was dumbfounded.,
"— Нет, Павел Иванович, — сказал он, — уж если хотите знать умного человека, так у нас, действительно, есть один, о котором, точно, можно сказать: «умный человек», которого я и подметки не стою.","“No, Pavel Ivanovich,” he said, “if you want to know an intelligent person, then we really do have one about whom, for sure, one can say: “an intelligent person,” whom I am not worth a candle.","“No, Pavel Ivanovitch,” he said, “if you want to know an intelligent man, we really have one man whom one might call an intelligent man, and I am not worth the sole of his old shoe.”","“If you want a man of GENUINE intellect,” he said, “I can tell you of one. He is a man whose boot soles are worth more than my whole body.”","“No, Pavel Ivanovich,” he said, “if you want to know an intelligent man, then we do indeed have one of whom it may truly be said, ‘This is an intelligent man,’ and of whom I am not worth the shoe sole.”",
"Это вздорное, по-видимому, происшествие заметно расстроило нашего героя. Как ни глупы слова дурака, а иногда бывают они достаточны, чтобы смутить умного человека. Он стал чувствовать себя неловко, неладно: точь-точь как будто прекрасно вычищенным сапогом вступил вдруг в грязную, вонючую лужу; словом, нехорошо, совсем нехорошо! Он пробовал об этом не думать, старался рассеяться, развлечься, присел в вист, но все пошло как кривое колесо: два раза сходил он в чужую масть и, позабыв, что по третьей не бьют, размахнулся со всей руки и хватил сдуру свою же. Председатель никак не мог понять, как Павел Иванович, так хорошо и, можно сказать, тонко разумевший игру, мог сделать подобные ошибки и подвел даже под обух его пикового короля, на которого он, по собственному выражению, надеялся, как на бога. Конечно, почтмейстер и председатель и даже сам полицеймейстер, как водится, подшучивали над нашим героем, что уж не влюблен ли он и что мы знаем, дескать, что у Павла Ивановича сердечишко прихрамывает, знаем, кем и подстрелено; но все это никак не утешало, как он ни пробовал усмехаться и отшучиваться. За ужином тоже он никак не был в состоянии развернуться, несмотря на то что общество за столом было приятное и что Ноздрева давно уже вывели; ибо сами даже дамы наконец заметили, что поведение его чересчур становилось скандалезно. Посреди котильона он сел на пол и стал хватать за полы танцующих, что было уже ни на что не похоже, по выражению дам. Ужин был очень весел, все лица, мелькавшие перед тройными подсвечниками, цветами, конфектами и бутылками, были озарены самым непринужденным довольством. Офицеры, дамы, фраки — все сделалось любезно, даже до приторности. Мужчины вскакивали со стульев и бежали отнимать у слуг блюда, чтобы с необыкновенною ловкостию предложить их дамам. Один полковник подал даме тарелку с соусом на конце обнаженной шпаги. Мужчины почтенных лет, между которыми сидел Чичиков, спорили громко, заедая дельное слово рыбой или говядиной, обмакнутой нещадным образом в горчицу, и спорили о тех предметах, в которых он даже всегда принимал участие; но он был похож на какого-то человека, уставшего или разбитого дальней дорогой, которому ничто не лезет на ум и который не в силах войти ни во что. Даже не дождался он окончания ужина и уехал к себе несравненно ранее, чем имел обыкновение уезжать.","This apparently absurd incident visibly upset our hero. Stupid as the words of a fool may be, they are sometimes sufficient to confuse an intelligent person. He began to feel awkward, out of place: exactly as if he suddenly stepped into a dirty, stinking puddle with a perfectly polished boot; In a word, not good, not good at all! He tried not to think about it, tried to distract himself, to have fun, sat down to whist, but everything went like a crooked wheel: twice he went into someone else's suit and, forgetting that they don't hit on the third, swung with all his arm and foolishly grabbed his own. The chairman could not understand how Pavel Ivanovich, who understood the game so well and, one might say, subtly, could make such mistakes and even let his king of spades under the butt, whom he, in his own words, hoped for as in God. Of course, the postmaster and the chairman, and even the police chief himself, as usual, joked with our hero that he was not in love, and that we know, they say, that Pavel Ivanovich's heart is limping, we know who shot it; but all this was no consolation, no matter how hard he tried to smile and laugh it off. At dinner, too, he was in no way able to turn around, despite the fact that the company at the table was pleasant and that Nozdryov had long since been taken out; for even the ladies themselves finally noticed that his behavior was becoming too scandalous. In the middle of the cotillion, he sat down on the floor and began to grab the dancers by the floors, which was already unlike anything, in the expression of the ladies. The supper was very cheerful, all the faces flashing in front of the triple candlesticks, flowers, sweets and bottles were lit up with the most unconstrained contentment. Officers, ladies, tailcoats - everything was done kindly, even to the point of cloying. Men jumped up from their chairs and ran to take dishes from the servants in order to offer them to the ladies with extraordinary dexterity. One colonel gave the lady a plate of sauce on the end of a drawn sword. The men of respectable years, between whom Chichikov was sitting, were arguing loudly, seizing on a practical word with fish or beef, mercilessly dipped in mustard, and arguing about those subjects in which he even always took part; but he looked like some kind of man, tired or shattered by a long journey, to whom nothing climbs in his mind and who is unable to enter into anything. He did not even wait for the end of supper and left for his place incomparably earlier than he used to leave.","This apparently nonsensical incident unmistakably upset our hero. However stupid a fool’s words may be, they are sometimes enough to upset a sensible man. He began to feel uncomfortable and ill at ease, exactly as though with highly polished boots he had stepped into a filthy, stinking puddle—in short, it was nasty, very nasty He tried not to think of it, he tried to turn the current of his thoughts, to distract his mind, and sat down to whist, but everything went awry like a crooked wheel: twice he revoked and forgetting that one should not rump in the third place, threw away his whole hand and spoilt his game by his foolishness. The president simply could not understand how Pavel Ivanovitch, who had such a good and, one might say, subtle understanding of the game, could make such blunders and had even trumped his king of spades in whom, to use his own expression, he had trusted as in God. Of course the postmaster and the president and even the police-master bantered our hero, asking whether he was in love, and declaring that Pavel Ivanovitch’s heart had been smitten, and that they knew from whom the dart had come; but all that was no comfort to him, though he did his best to laugh and turn it off with a joke. At supper, too, he was not able to recover himself, although the company at the table was agreeable and Nozdryov had been ejected some time before, for even the ladies had observed that his conduct was becoming extremely scandalous. In the middle of the cotillion, he had sat down on the floor and clutched at the skirts of the dancers, which was really beyond anything, to use the ladies’ expression. The supper was very lively; all the faces, flitting to and fro before the three-stemmed candlesticks, the flowers, the sweets and the bottles, were beaming with the most spontaneous satisfaction. Officers, ladies, gentlemen in dress coats—everything was polite to mawkishness. The gentlemen jumped up from their chairs and ran to take the dishes from the servants to offer them with rare adroitness to the ladies. One colonel handed a lady a plate of sauce on the tip of his drawn sword. The gentlemen of respectable age, among whom Tchitchikov was sitting, argued loudly, absorbing a few words about business with the fish or the beef, which was ruthlessly smothered in mustard. They discussed the very subjects in which he was always interested; but he was like a man wearied or knocked up by a long journey who has not an idea in his head and who is not capable of entering into anything. He did not even stay to the end of the supper, but went home much earlier than he generally did.","Naturally this unseemly contretemps had greatly upset our hero; for, however foolish be a madman’s words, they may yet prove sufficient to sow doubt in the minds of saner individuals. He felt much as does a man who, shod with well-polished boots, has just stepped into a dirty, stinking puddle. He tried to put away from him the occurrence, and to expand, and to enjoy himself once more. Nay, he even took a hand at whist. But all was of no avail—matters kept going as awry as a badly-bent hoop. Twice he blundered in his play, and the President of the Council was at a loss to understand how his friend, Paul Ivanovitch, lately so good and so circumspect a player, could perpetrate such a mauvais pas as to throw away a particular king of spades which the President has been “trusting” as (to quote his own expression) “he would have trusted God.” At supper, too, matters felt uncomfortable, even though the society at Chichikov’s table was exceedingly agreeable and Nozdrev had been removed, owing to the fact that the ladies had found his conduct too scandalous to be borne, now that the delinquent had taken to seating himself on the floor and plucking at the skirts of passing lady dancers. As I say, therefore, Chichikov found the situation not a little awkward, and eventually put an end to it by leaving the supper room before the meal was over, and long before the hour when usually he returned to the inn.","This apparently absurd occurrence noticeably upset our hero. However stupid a fool’s words may be, they are sometimes enough to confound an intelligent man. He began to feel uneasy, ungainly—exactly as if he had suddenly stepped with a beautifully polished shoe into a dirty, stinking puddle; in short, not good, not good at all! He tried not to think about it, tried to get diverted, distracted, sat down to whist, but it all went like a crooked wheel: twice he played into his opponents’ strong suit, and, forgetting that one does not double trump, he swung his arm and, like a fool, took his own trick. The magistrate simply could not understand how Pavel Ivanovich, who had such a good and, one might say, subtle understanding of the game, could make such mistakes and even put under the axe his king of spades, in which, to use his own words, he trusted as in God. Of course, the postmaster and the magistrate, and even the police chief himself, kept poking fun at our hero, as is customary, suggesting that he might be in love, and don’t we know that Pavel Ivanovich’s heart has been smitten, and don’t we know who shot the dart; but all this was no comfort, however much he tried to smile and laugh it off. At supper, too, he was quite unable to be expansive, though the company at table was pleasant and Nozdryov had long ago been taken out; for even the ladies themselves finally noticed that his behavior was becoming much too scandalous. In the midst of the cotillion, he got down on the floor and started grabbing the dancers by their skirt hems, which was really beyond everything, as the ladies put it. The supper was very gay, all the faces flitting before the three-stemmed candlesticks, flowers, sweets, and bottles radiated the most unconstrained pleasure. Officers, ladies, tailcoats—everything became courteous, even to the point of cloying. Men jumped up from their chairs and ran to take dishes from the servants in order to offer them, with extraordinary adroitness, to the ladies. One colonel offered a dish of sauce to a lady on the tip of his bare sword. The men of respectable age, among whom Chichikov sat, were arguing loudly, following their sensible words with fish or beef dipped unmercifully in mustard, and arguing about subjects he had even always been interested in; but he was like a man worn-out or broken by a long journey, whose mind is closed to everything and who is unable to enter into anything. He did not even wait until supper was over, and went home incomparably earlier than was his custom.","This incident, apparently so nonsensical, perceptibly upset our hero. No matter how foolish the words of the fool, yet at times they will suffice to throw a wise man into confusion. Chichikov began to feel ill at ease and out of sorts, every whit as if he had set a beautifully polished boot into a filthy, stinking puddle; in a word, things were bad, downright bad! He tried not to think of it; he tried to distract himself, to find some amusement, to sit down to whist, but everything went as badly as a crooked wheel: twice he played out of turn and, forgetting that it was not up to him to cover the third card, swung back his arm and idiotically covered his own card. The Chairman of the Administrative Offices could not, no matter how he tried, understand how Pavel Ivanovich, who had such a good—and, one might even say, such a fine—grasp of the game could make mistakes like that, and even got the best of Pavel Ivanovich’s king of spades, in which, according to the latter’s own expression, he had placed his trust as in God. Of course the Postmaster and the Chairman of the Administrative Offices, and even the Chief of Police himself, kept twitting our hero in time-honored fashion : Was he in love, perhaps, and we know, now, that Pavel Ivanovich’s little heart has been smitten ; we know, as well, who loosed the arrow that wounded it. ... But all this did not console him in the least, no matter how hard he tried to smile and to return their banter. At supper, too, he found it impossible to relax, despite the fact that the gathering at the table was a pleasant one and that Nozdrev had long since been led out, since the ladies themselves had at last remarked that his conduct was becoming far too scandaleuse. At the very height of the cotillion he had plumped down on the floor and begun grabbing the dancers by their skirts and coat flaps, which, to use an expression of the ladies, was already beyond anything, really. The supper was a very gay one; all the faces, glimpsed between triple candelabra, flowers, bottles, and bonbon-nieresy were glowing with the most unconstrained pleasure. Army officers, ladies, frock-coated gentlemen—all became amiable, even to the point of being cloying. The gentlemen leapt up from their seats and ran to relieve the waiters of their platters, so as to offer them, with extraordinary adroitness, to the ladies. One colonel offered a sauceboat to a lady at the end of his unsheathed sword. Men who had attained the decorous age, among whom Chichikov was seated, were carrying on loud discussions, driving home the point of their weighty words with gobs of fish or beef ruthlessly smothered in mustard, and their discussions dealt with the very subjects in which he always took part; but he looked like a man fatigued or broken up by a prolonged trip, who can’t get a thing into his head and who finds it beyond his strength to grasp any matter. He didn’t even wait for the supper to be over and went home incomparably earlier than he usually did."
"— Мне, братец, руки нужны; мне работников доставляй, а не материал.","- I, brother, need hands; Bring me workers, not material.","“I need hands; get me workmen, not material.”","The tavern-keepers sell us such liquor that, before a man knows where he is, a glassful of it has eaten a hole through his stomach, and made him feel as though he could drink a pail of water.","“I need hands, brother; bring me workers, not materials.”",
Глава вторая,Chapter Two,CHAPTER 2,CHAPTER II,Chapter Two,
"— Давненько не брал я в руки шашек! — говорил Чичиков, подвигая шашку.","“I haven’t picked up checkers for a long time!” said Chichikov, moving his saber.","“It’s a long time since I touched a draughtsman,” said Tchitchikov, and he too advanced a piece.","And Chichikov, in his turn, moved.","“I haven’t touched checkers in a long time!” said Chichikov, moving a piece.","“It’s rather a long time since I’ve tried my hand at checkers,” said Chichikov, moving a checker."
"— Мне странно, право: кажется, между нами происходит какое-то театральное представление или комедия, иначе я не могу себе объяснить… Вы, кажется, человек довольно умный, владеете сведениями образованности. Ведь предмет просто фу-фу. Что ж он стоит? кому нужен?","- It’s strange to me, really: it seems that some kind of theatrical performance or a comedy is going on between us, otherwise I can’t explain it to myself ... You seem to be a rather smart person, you have knowledge of education. After all, the subject is just fu-fu. What is he worth? who needs?","Tchitchikov thought to himself, and then he added aloud: “I am really puzzled: it seems to me as though we are taking part in some theatrical performance or farce: that’s the only way I can explain it to myself... I believe you are a fairly intelligent man, you have all the advantages of education. Why, the goods you are selling are simply . . . ough! What are they worth? What use are they to any one?”","Then he added aloud: “The situation seems to me a strange one, for it is as though we were performing a stage comedy. No other explanation would meet the case. Yet you appear to be a man of sense, and possessed of some education. The matter is a very simple one. The question is: what is a dead soul worth, and is it of any use to any one?”","“I find it strange, really: it seems some theater performance or comedy is going on between us, otherwise I can’t explain it to myself … You seem to be quite an intelligent man, you possess educated knowledge. The object is simply pooh-pooh. What is it worth? Who needs it?”","“Is he taking me for a fool, or what?” and then added, out loud: “I find it strange, really; it seems as if we were going through some sort of a theatrical performance or a comedy; I can t explain it any other way.. . . You are, it seems, a man who is quite intelligent, possessing knowledge and an education. Why, the matter under discussion has no more substance than a puff of air! What can such stuff be worth? Who needs it?”"
"— По две копеечки пристегну, извольте. Сколько их у вас? Вы, кажется, говорили семьдесят?","- I’ll fasten two kopecks, if you please. How many do you have? You seem to have said seventy?","“I will raise it another two kopecks, certainly. How many of them have you? I believe you said seventy”","“Pardon me, but I cannot. How many runaway serfs did you say that you possess? Seventy?”","“Two little kopecks I will tack on, if you please. How many of them do you have? I believe you were saying seventy?”","“I will tack on just two kopecks apiece, if you like. How many of these runaways have you? You said seventy, I think.”"
"— Нет уж, извините, не допущу пройти позади такому приятному, образованному гостю.","“No, excuse me, I won’t let such a pleasant, educated guest pass behind.”","“No, you must excuse me, I cannot allow such an agreeable, highly-cultured guest to walk behind me.”","“I beg of you to make no difficulty about it, but to pass into the room.” “Pardon me, I will not. Never could I allow so distinguished and so welcome a guest as yourself to take second place.”","“No, excuse me, I will not allow such an agreeable, well-educated guest to go in after me.”","“No, really, you must excuse me; I would never allow such a pleasant, cultured guest to go in after me!”"
