Source,GoogleTranslate,human1,human2,human3,human4,human5
"Наши боги – здесь, с нами – в Бюро, в кухне, в мастерской, в уборной; боги стали, как мы: эрго – мы стали, как боги. И к вам, неведомые мои планетные читатели, к вам мы придем, чтобы сделать вашу жизнь божественно-разумной и точной, как наша…","Our gods are here with us - in the Bureau, in the kitchen, in the workshop, in the dressing room; gods have become like us: ergo - we have become like gods. And to you, my unknown planetary readers, we will come to you to make your life divinely intelligent and accurate, like ours ...","Our gods are here, below. They are with us in the Bureau, in the kitchen, in the shops, in the rest-rooms. The gods have become like us, ergo we have become like gods. And we shall come to you, my unknown readers on another planet, we shall come to you to make your life as god-like, as rational and as correct as ours....","Our gods are here, below, with us—in the office, the kitchen, the workshop, the toilet; the gods have become like us. Ergo, we have become as gods. And we shall come to you, my unknown readers on the distant planet, to make your life as divinely rational and precise as ours.","Our gods are here, below, with us—in the Bureau, in the kitchen, in the workshop, in the latrine. Gods have become like us, ergo, we have become like gods. And to you, my unknown planetary readers, we will come to you, to make your life as divinely rational and exact as ours.","Our gods are here below, with us, in the Bureau, in the kitchen, in the shop, in the toilet. The gods have become like us—ergo , we’ve become like gods. And we’re headed your way, my unknown planetary readers, we’re coming to make your life divinely rational and precise, like ours.","Our gods are here, below. They are with us in the Bureau, in the kitchen, in the shops, in the rest rooms. The gods have become like us, ergo we have become like gods. And we shall come to you, my unknown readers on another planet, we shall come to you to make your life as godlike, as rational, and as correct as our own …"
– Происшествие?,– Incident?,“An accident?”,"""Excitement?""",“Event?”,“An event?”,“An accident?”
"Я взмахнул рукой, желтые глаза мигнули, попятились, пропали в листве. Жалкое существо! Какой абсурд: он – счастливее нас! Может быть, счастливее меня – да; но ведь я – только исключение, я болен.","I waved my hand, yellow eyes blinked, backed away, disappeared into the foliage. Pitiful creature! What an absurdity: he is happier than us! Maybe happier than me - yes; but I'm just an exception, I'm sick.","I waved my hand. The yellow eyes twinkled, moved back and disappeared in the foliage. What a pitiful being! How absurd the idea that he might be happier! Happier than I he may be, but I am an exception, am I not? I am sick.","I raised my hand, the yellow eyes blinked, backed away, and disappeared among the greenery. The paltry creature! What absurdity—that he could possibly be happier than we are! Happier than I, perhaps; but I am only an exception, I am sick. But even I...","I waved my hand, the yellow eyes blinked, moved backward, and disappeared into the leaves. Poor being! How absurd: he being happier than us! It may be that he is happier than me, yes; but I, of course, I am an exception, I am sick. And, even I …","I waved my hand, the yellow eyes blinked, backed off, vanished in the foliage. Pathetic creature! How ridiculous—him happier than us! Happier than me —that could be, all right. But then I’m simply an exception, I’m sick. And then, I ...","I waved my hand. The yellow eyes twinkled, moved back, and disappeared in the foliage. What a pitiful being! How absurd the idea that he might be happier! Happier than I he may be, but I am an exception, am I not? I am sick."
Конспект:,Abstract:,The Forgiven Ones,TOPICS:,KEYWORDS:,RECORD 34,The Forgiven Ones
"Торжественный, светлый день. В такой день забываешь о своих слабостях, неточностях, болезнях – и все хрустально-неколебимое, вечное – как наше, новое стекло…","Solemn, bright day. On such a day, you forget about your weaknesses, inaccuracies, illnesses - and everything crystal-unshakable, eternal - like ours, new glass ...","A solemn bright day. On such days one forgets one’s weaknesses, inexactitudes, illnesses, and everything is crystalline and imperturbable like our new glass....","A bright, solemn day. On such days you forget your weaknesses, imprecisions, ailments, and everything is crystal, immutable, eternal—like our glass.","A solemn, bright day. On days like these you forget about all your weaknesses, imprecisions, sicknesses, and everything is crystalfixed and eternal—like our new glass …","A bright, triumphant day. On a day like today you forget about your weaknesses, your uncertainties, your illnesses, and everything is crystalline, steadfast, everlasting... like our new glass.","A solemn, bright day. On such days one forgets one’s weaknesses, inexactitudes, illnesses, and everything is crystalline and imperturbable like our new glass.…"
"– Я знала это… Я знала тебя… – сказала I очень тихо. Быстро поднялась, надела юнифу и всегдашнюю свою острую улыбку-укус. – Ну-с, падший ангел. Вы ведь теперь погибли. Нет, не боитесь? Ну, до свидания! Вы вернетесь один. Ну?","“I knew it… I knew you…” I said very softly. She quickly got up, put on her unif and her usual sharp smile-bite. Well, fallen angel. You are now dead. No, aren't you afraid? Well, goodbye! You will return alone. Well?","“I knew it.... I knew you,” said I-330 in a very low voice. She passed her hand over her face as though brushing something away; then she arose brusquely, put on her unif and her usual sharp, bite-like smile. “Well, my fallen angel ... you perished just now, do you know that? No? You are not afraid? Well, au-revoir. You shall go home alone. Well?”","""I knew it ... I knew you ..."" she said, just audibly. Rising quickly, she put on her unif and her usual sharp bite-smile. "" Well, fallen angel. You're lost now. You're not afraid? Good-by, then! You will return alone. There.""","“I knew this … I knew you …” said I-330, very quietly. Quickly getting up, she put on her unif and there was her ever-sharp smile-sting. “Well, now, fallen angel. You, I’d say, are now lost. You’re not afraid, are you … ? Well, then, goodbye! You will return alone. Right?”","“I knew that ... I knew you,” said she, very softly. She got up quickly, put on her yuny, and her smile-bite. “Well, fallen angel. Now you’re ruined,” she said, reverting to the formal you. “No, aren’t you afraid? Well, goodbye ! You’ll get back on your own, right?”","“I knew it.… I knew you,” said I-330 in a very low voice. She passed her hand over her face as though brushing something away; then she arose brusquely, put on her unif and her usual sharp, bite-like smile. “Well, my fallen angel, you perished just now, do you know that? No? You are not afraid? Well, au revoir. You shall go home alone. Well?”"
"– Нелепо – потому что революции не может быть. Потому что наша – это не ты, а я говорю, – наша революция была последней. И больше никаких революций не может быть. Это известно всякому…","- Ridiculous - because there can be no revolution. Because ours is not you, but I say, our revolution was the last. And there can be no more revolutions. Everyone knows this...","because a revolution is impossible! Because our (I speak for myself and for you), our revolution was the last one. No other revolutions may occur. Everybody knows that.”","""It is absurd because there can be no revolution. Because our—I am saying this, not you—our revolution was the final one. And there can be no others. Everyone knows this....""","“Ridiculous—because revolutions aren’t possible. Because our—I am talking, not you—our revolution was the last. And there cannot be any more revolutions … Everyone knows that …”","“Stupid—because there can’t be a revolution. Because our—this is me talking, not you— our revolution was the final one. And there cannot be any further revolutions of any kind. Everybody knows that....”","Absurd, because a revolution is impossible! Because our—I speak for myself and for you—our revolution was the last one. No other revolutions may occur. Everybody knows that.”"
"I была где-то там, у меня за спиной, возле шкафа. Юнифа шуршала, падала – я слушал – весь слушал. И вспомнилось… нет: сверкнуло в одну сотую секунды…","I was somewhere there, behind me, near the closet. Yunifa rustled, fell - I listened - I listened all over. And I remembered ... no: it flashed in one hundredth of a second ...","She was somewhere behind me, near the closet door. The unif was rustling, falling. I was listening, all listening. I remembered,—no, it glistened in my mind for one hundredth of a second,—I once had to calculate the curve of a street membrane of a new type.","I-330 was somewhere behind me, near the closet. Her unif rustled, fell. I listened, all of me listened. And I remembered ... no, it flashed upon me within one hundredth of a second ...","I-330 was somewhere behind my back, near the closet. Her unif rustled and fell; I listened—all of me listened. And I was reminded of … it’s gone—flashed past in one hundredth of a second …",1-330 was somewhere behind my back near the wardrobe. Her yuny made a rustling noise and fell. I listened. My whole body listened. And I recalled ... no. Something flashed by my mind for the hundredth part of a second.,"She was somewhere behind me, near the closet door. The unif was rustling, falling. I was listening, all listening. I remembered— no, it glistened in my mind for one hundredth of a second"
– Да как сказать? Собственно – нет. Но я знал одну женщину…,"- Yes, how to say? Actually - no. But I knew one woman...","“What shall I say? Strictly speaking, no. But I know a woman....”","Well, how shall I put it? Actually, no. But I knew a certain woman ...""","And his answer: “Well, how can I put it? Personally—no. But I did know one woman …”","“Well, how to put it ... ? Me personally—no. But I did know one woman ...”","“What shall I say? Strictly speaking, no. But I know a woman …”"
"Тогда я раскрыл глаза – и лицом к лицу со мной, наяву то самое, чего до сих пор не видел никто из живых иначе, как в тысячу раз уменьшенное, ослабленное, затушеванное мутным стеклом Стены.","Then I opened my eyes - and face to face with me, in reality the very thing that no living person has seen until now, otherwise, as a thousand times reduced, weakened, obscured by the muddy glass of the Wall.","Then I opened my eyes, and close to me, actually, I saw those very things which until then not a single living Number had ever seen otherwise than depreciated a thousand times, dimmed and hazy through the cloudy glass of the Wall.","I opened wide my eyes: face to face with me, in wide-awake reality, was that which hitherto had not been seen by any living man except diminished a thousandfold, muted and dimmed by the thick, cloudy glass of the Wall.","Then I opened my eyes wide and I was face-to-face, in actuality, with the very thing, which no living person today had seen until now—other than through the cloudy glass of the Wall, which weakened, obscured, and reduced it by a thousand times.","Then I opened my eyes ... and found myself in broad daylight face to face with what no living person had ever seen up to then except reduced a thousand times, weakened and dimmed by the cloudy glass of the Wall.","Then I opened my eyes, and close to me, actually, I saw those very things which until then not a single living Number had ever seen except depreciated a thousand times, dimmed and hazy through the cloudy glass of the Wall."
"Сперва никто не понимал, что это, – не понимал даже и я, кому (к несчастью) было открыто больше, чем всем другим. Это было похоже на огромный рой черных аэро: где-то в невероятной высоте – еле заметные быстрые точки. Все ближе; сверху хриплые, гортанные капли – наконец, над головами у нас птицы. Острыми, черными, пронзительными, падающими треугольниками заполнили небо, бурей сбивало их вниз, они садились на купола, на крыши, на столбы, на балконы.","At first, no one understood what it was - even I did not understand, to whom (unfortunately) more was revealed than to everyone else. It was like a huge swarm of black aero: somewhere at an incredible height - barely noticeable fast points. Getting closer; from above, hoarse, guttural drops - finally, above our heads we have birds. Sharp, black, piercing, falling triangles filled the sky, the storm knocked them down, they sat on domes, on roofs, on pillars, on balconies.","At first nobody could understand what it was, even I, who knew (unfortunately) more than the others. It was like a great hive of black aeros swarming somewhere at an extraordinary height—they looked like hardly noticeable, swiftly moving points.... Nearer and nearer.... Hoarse, guttural sounds began to reach the earth and finally we saw birds just over our heads! They filled the sky with their sharp, black, descending triangles. The stormy wind drove them down and they began to land on the cupolas, on the roofs, poles and balconies. “Ah—ah!”","In the beginning, no one understood it. Even I, to whom (unfortunately) more had been revealed than to the rest, did not understand. It looked like an enormous swarm of black aeros: barely visible quick dots at an incredible height. Nearer and nearer; hoarse, guttural sounds from above—and finally, over our heads—birds. Their sharp, black, piercing, falling triangles filled the sky. The storm flung them down, they settled on cupolas, on roofs, on poles, on balconies.","At first no one understood what it was—even I didn’t understand. I, for whom (unfortunately) everything is clearer than to everyone else. It looked something like an enormous swarm of black aeros: barely perceptible fast-moving dots, somewhere unbelievably high in the sky. They approached with hoarse, guttural drops of sound from above, and finally: there were birds above our heads. Sharp, black, piercing, falling triangles filled the sky, a storm was beating them down and they settled on the cupolas, on the roofs, on the columns, on the balconies.","At first nobody understood what it was. Even I, who’d found out a lot more (alas) than anyone else, didn’t understand. It looked like a huge swarm of black aeros—quick little dots that you could hardly see at some incredible altitude. They get closer and closer. Hoarse, guttural droplets of sound come down to us. Finally there are birds overhead. They fill the sky: sharp, black, piercing, falling triangles. Beaten down by a storm, they swarm on cupolas, on roofs, on pillars, on balconies.","… At first nobody could understand what it was, even I, who knew (unfortunately) more than the others. It was like a great hive of black aeros swarming somewhere at an extraordinary height—they looked like hardly noticeable, swiftly moving points … Nearer and nearer … Hoarse, guttural sounds began to reach the earth, and finally we saw birds just over our heads! They filled the sky with their sharp, black, descending triangles. The furious wind drove them down, and they began to land on the cupolas, on the roofs, poles, and balconies."
"– Да, да! Как же, как же! Очень, – я улыбался все шире, нелепей и чувствовал: от этой улыбки я голый, глупый…","- Yes Yes! How, how! Very, - I smiled wider and more absurdly and felt: from this smile I am naked, stupid ...","This was perfectly clear. “Yes, yes, certainly, very,” I smiled, broader and broader, more stupidly, and felt as if my smile made me look foolish, naked.","""Oh, yes, yes! Of course, of course! Very. "" I smiled more and more broadly and foolishly, and I felt: This smile makes me look naked, stupid.","“Yes, yes! And how, and how! Very.” I smiled—broadly and stupidly—and I felt: this smile makes me look naked, silly …","“Right! Right! You said it! Very ...” My smile got wider and stupider, and it made me feel like a naked idiot.","“Yes, yes, certainly, very.” I smiled, more and more broadly, more stupidly, and felt as if my smile made me look foolish, naked."
– Нет? Но почему же – раз уж вы пошли туда и сообщили…,- Not? But why - since you went there and said ...,"“No? But why not, since you....”","""No? But why—since you had gone there and reported...""","“No? Well, why … ? You went there to tell them … and?”",“No? Then how come ... once you’d already gone there to report ... ?”,"“No? But why not, since you …”"
"Я вскочил – за столом, подперев рукою подбородок, с усмешкой глядела на меня I…","I jumped up - at the table, resting my chin on my hand, I looked at me with a smile ...","I jumped up. At the table, leaning her chin on her hand and smiling, was I-330, looking at me.","I jumped up. At the table, her chin resting on her hand, sat I-330, looking at me with a wry smile....","I leapt up. Behind the desk, having propped up her chin with her hand, I-330 was looking at me with a smirk …","I jumped up. Sitting at the table, her chin resting in her hand, 1-330 was looking at me with an ironic grin....","I jumped up. At the table, leaning her chin on her hand and smiling, sat I-330, looking at me."
– Да ешьте же! На вас смотрят!,"- Yes, eat! They are looking at you!","“But why don’t you eat? Don’t you see, they are looking at you!”","In the dining room in the morning, my neighbor on the left said to me in a frightened whisper, ""Why don't you eat! They're looking at you!""","The cipher on my left seemed spooked and whispered to me: “Well, eat, will you! They’re watching you!”","In the morning in the dining room my neighbor to the left whispered to me in a frightened voice: “Eat, will you! They’re watching you!”","“But why don’t you eat? Don’t you see, they are looking at you!”"
"Пусто. Тихо. Ветер – там, за стенами, далекий, как тот день, когда мы плечом к плечу, двое-одно, вышли снизу, из коридоров – если только это действительно было. Я шел под какими-то каменными арками, где шаги, ударившись о сырые своды, падали позади меня – будто все время другой шагал за мной по пятам. Желтые – с красными кирпичными прыщами – стены следили за мной сквозь темные квадратные очки окон, следили, как я открывал певучие двери сараев, как я заглядывал в углы, тупики, закоулки. Калитка в заборе и пустырь – памятник Великой Двухсотлетней Войны: из земли – голые каменные ребра, желтые оскаленные челюсти стен, древняя печь с вертикалью трубы – навеки окаменевший корабль среди каменных желтых и красных кирпичных всплесков.","Empty. Quiet. The wind is there, behind the walls, as far away as that day when, shoulder to shoulder, two-one, we came out from below, from the corridors - if only it really was. I walked under some kind of stone arches, where the steps, hitting the damp arches, fell behind me - as if all the time another was walking behind me on my heels. Yellow - with red brick spots - the walls followed me through the dark square glasses of the windows, watched me open the melodious doors of barns, as I peered into corners, dead ends, nooks and crannies. The gate in the fence and the wasteland - a monument to the Great Bicentennial War: from the earth - bare stone ribs, yellow grinning jaws of the walls, an ancient furnace with a vertical pipe - forever a petrified ship among stone yellow and red brick bursts.","It was empty. Quiet. The wind remained beyond the walls, distant as on that day, when shoulder to shoulder, two like one, we came out from beneath, from the corridors,—if it ever really happened. I walked under stone arches, my steps resounded against the damp vaults and fell behind me, sounding as though someone were continually following me. The yellow walls with patches of red brick were watching me through their square spectacles, windows,—watching me open the squeaky doors of a barn, look into corners, nooks and hidden places.... A gate in the fence and a lonely spot. The monument of the Two Hundred Years’ War. From the ground naked, stone ribs were sticking out. The yellow jaws of the wall. An ancient oven with a chimney like a ship petrified forever among red-brick waves.","Empty. Quiet. Wind outside, behind the walls, distant as the day when, shoulder to shoulder, two as one, we came out from below, from the corridors —if, indeed, this ever really happened. I walked beneath stone archways where my steps, resounding from the damp vaults, seemed to fall behind me, as if someone followed on my heels. Yellow walls with scars of red brick watched me through the dark glass squares of their windows, watched me open the singing doors of barns, peer into corners, dead ends, nooks, and crannies. A gate in the fence, and a desolate vacant lot—memorial of the great Two Hundred Years' War. Rising from the earth-bare stony ribs, the yellow grinning jaws of walls, an ancient stove with a vertical chimney—a ship forever petrified among the stony splashes of red and yellow brick.","Empty. Quiet. There is a wind over there, behind the walls, far away, just like there was that day when we, side by side, a twosome, a onesome, emerged from the depths, from those corridors—if this had really happened after all. I walked under some stone arches where my footsteps were smacking the gray vaults above and then falling behind me as though another person was treading behind me, at my heels. Yellow walls with redbrick pimples watched me through the dark square lenses of their windows; they watched as I opened the singing doors of sheds, as I looked into corners, down blind alleys and backstreets. I went through a gate in a fence into a vacant lot. These were monuments to the Two-Hundred-Year War: the naked stone ribs and the yellow bare-toothed jawbones of walls coming up from the soil; an ancient oven with vertical pipes; a ship fossilized forever among splashes of stone-yellow and brick-red.","It was empty. Quiet. The wind was far away, over there beyond the walls, the way it was that day when the two of us, walking like one, shoulder to shoulder, emerged from the corridors below—if in fact that ever really happened. I was walking under some kind of stone arches where the sound of my footsteps bounced off the damp vaults and fell behind me, like someone that kept walking right on my heels. The yellow walls with their red brick lesions watched me through the dark square spectacles of the windows, watched me opening the squealing doors of the barns, peering into corners, dead ends, nooks and crannies. There was a gate in the fence, and beyond it a wasteland, a relic of the Great 200-Years War, where bare stone ribs came up out of the ground, the yellow grimacing jaws of walls, an ancient stove beneath a vertical stovepipe, a ship turned to everlasting stone among stone and brick waves of yellow and red.","It was empty. Quiet. The wind remained beyond the walls, distant as on that day when shoulder to shoulder, two like one, we came out from beneath, from the corridors—if it ever really happened. I walked under stone arches; my steps resounded against the damp vaults and fell behind me, sounding as though someone were continually following me. The yellow walls with patches of red brick were watching me through their square spectacles, windows—watching me open the squeaky doors of a barn, look into corners, nooks, and hidden places. A gate in the fence and a lonely spot. The monument of the Two Hundred Years’ War. From the ground naked stone ribs were sticking out. The yellow jaws of the Wall. An ancient oven with a chimney like a ship petrified forever among red-brick waves."
"– А вот письмо. Да. Получите, дорогой, – да, да, получите.","- And here is the letter. Yes. Get it, dear - yes, yes, you get it.","“There is a letter for you. You will receive it, dear. Yes, yes, you will.”","""There is a letter for you. Yes. You will get it, my dear, yes, yes, you will get it.""","Just as I was going to draw her attention to it, she suddenly lifted her head and dripped an inky sort of grin onto me: “There’s a letter. Yes. You’ll get it, my dear—yes, yes, it will get to you.”","I was just about to point this out to her when suddenly she raised her head and dribbled one of her inky little smiles at me: “ Oh, yes. There’s a letter for you, dear. You’ll get it, you’ll get it.”","“There is a letter for you. You will receive it, dear. Yes, yes, you will.”"
"– Ничего не увы. Наука растет, и ясно – если не сейчас, так через пятьдесят, сто лет…","- Nothing, alas. Science is growing, and it is clear - if not now, then in fifty, a hundred years ...","Science is developing and if not now, then within fifty or one hundred years—”",",. . And with a sharpness unusual for me, I said, ""No reason for 'Alas.' Science progresses, and it is obvious that, if not now, then in fifty or a hundred years ...""","I—with uncharacteristic abruptness—said: “Nothing alas about it. Science progresses, and it’s clear that given another fifty, a hundred years …”","So I said, very abruptly, which wasn’t like me at all: “Nothing’s too bad. Science is going forward, and it’s clear that, maybe not right away, but in fifty or a hundred years ...”","With an abruptness unusual for me, I said, “Why, ‘alas’? Science is developing and if not now, then within fifty or one hundred years—”"
"– Глядите, глядите! Вон там – правее!","- Look, look! Over there - to the right!","“Look, there! Look! There to the right!”","""Look, look! There, to the right!""",“Look! Look! Over there—starboard!”,"“Look! Look! Over there, to the right!”","“Look, there! Look! There to the right!”"
"Мне нужно скорее, сию же секунду – в Медицинское Бюро получить удостоверение, что я болен, иначе меня возьмут и – А может быть, это и будет самое лучшее. Остаться тут и спокойно ждать, пока увидят, доставят в Операционное – сразу все кончить, сразу все искупить.","I need to quickly, this very second - get a certificate from the Medical Bureau that I am sick, otherwise they will take me and - And maybe that will be the best. Stay here and calmly wait until they see them, they bring them to the Operations Room - to finish everything at once, to atone for everything at once.","“I must go at once, this very second, to the Medical Bureau or else ... or perhaps this would be best: to remain here, to wait quietly until they see me and come and take me into the Operation Department and put an end to everything at once, redeem everything....”","I must hurry, this very second, to the Medical Office to get a certificate of illness, otherwise they'll take me and ... But perhaps that would be best? To stay here and calmly wait until they see me and take me to the Operational Section—and so put an end to everything, atone for everything at once.","It is imperative that I immediately, this very second, go to the Bureau of Medicine to obtain certification that I am sick, otherwise they’ll get me and— well, maybe that would be for the best. By staying here and calmly waiting until they see me and convey me to the Operation Room—everything would be over immediately, immediately everything would be expiated.","I’ve got to go at once, right this minute, to the Medical Bureau and get a certificate that I’m sick, or else they’ll take me and ... But that might even be the best thing. Just stay here and wait quietly until I’m seen and they take me to Operations—to end it all right away, pay my debt immediately.","“I must go at once, this very second, to the Medical Bureau, or else … Or perhaps this would be best: to remain here, to wait quietly until they see me and come and take me into the Operation Department and put an end to everything at once, redeem everything.…”"
– Зачем вы меня сюда? Вы меня обманули?,- Why are you here? Have you deceived me?,“Why did you bring me here? You lied to me?”,"Wearily, ""Why did you bring me here? You lied to me!""",She was tired: “Why did you bring me here? You lied to me.”,Her tired voice said: “Why’d you bring me here? You tricked me?”,“Why did you bring me here? You lied to me.”
"– Но… собственно, в чем же суть? Я как-то не… не представляю.","“But… actually, what’s the point?” Somehow I don't... I can't imagine.","“But more specifically, what is it? Somehow I cannot imagine—”","""But ... what, essentially, does it mean? I somehow don't... don't understand it.""",“But … what specifically is at the source of all this? I can’t even begin … to imagine.”,“But ... what is really going on? I don’t ... I can’t understand. ”,"“But more specifically, what is it? Somehow I cannot imagine—”"
– Нет: что «если только»? Опять? Что «если только»?,"– No: what “if only”? Again? What is ""if only""?",“No. ‘ If only’ what? Again! ‘ If only’ what?”,"""No, what do you mean, 'if only? Again? ' If only' what?""",“No. What do you mean by ‘that is if ’? Again: that is if what?”,“No. What do you mean if only? You’re doing it again. If only what?”,“No. ‘ If only’ what? Again! ‘ If only’ what?”
Вечером должна была ко мне прийти О – это был ее день. Я спустился к дежурному взять право на шторы.,Oh was supposed to come to me in the evening - it was her day. I went down to the duty officer to take the right to the curtains.,I was expecting O-90 last evening as it was her regular day. I went downstairs to the controller on duty to get a permit for the lowering of my curtains.,In the evening O was to come to me—this was her day. I went down to the number on duty to obtain permission to lower my shades.,In the evening O was meant to be coming over—it was her day. I went down to the monitor to get blind-lowering permission.,0 was supposed to come to me in the evening—it was her day. I went downstairs to the duty desk to get my pass for lowering the blinds.,"I was expecting O-90 last evening, as it was her regular day. I went downstairs to the controller on duty to get a permit for the lowering of my curtains."
"– Да, но я хотел – клянусь Благодетелем, я хотел.","“Yes, but I wanted to—I swear by the Benefactor, I wanted to.","“No, but I wanted to. I swear by the Well-Doer , I wanted to!”","""Yes, but I wanted to—I swear by the Benefactor, I did.""","“Yes, but I meant to—I swear to the Benefactor, I meant to.”","“Yes, but I meant to ... I swear by the Benefactor, I meant to.”","“No, but I wanted to. I swear by the Well-Doer I wanted to!”"
I смеялась очень странно и долго. Потом пристально посмотрела на меня – внутрь:,I laughed very strangely and for a long time. Then she looked intently at me - inside:,"I-330 laughed a long, strange laugh. Then she cast a look at me, into me.","I-330 laughed very strangely and very long. Then she looked closely at me—into me. ""","I-330 laughed very strangely and at great length. Afterward, she looked intently at me, inside: “The important thing is that I am completely peaceful with you.","1-330’s very strange laughing went on for a long time. Afterward she looked hard at me, right into me, and said, “But the main thing is that I’m not worried about you.","I-330 laughed a long, strange laugh. Then she cast a look at me, into me."
"– Ну что там: знание! Знание ваше это самое – трусость. Да уж чего там: верно. Просто вы хотите стенкой обгородить бесконечное, а за стенку-то и боитесь заглянуть. Да! Выгляните – и глаза зажмурите. Да!","- Well, what is there: knowledge! Your knowledge is the very thing - cowardice. Yes, what is there: right. You just want to fence off the infinite with a wall, but you are afraid to look behind the wall. Yes! Look out and close your eyes. Yes!","“Heh, to the deuce with knowledge. Your much-heralded knowledge is but a form of cowardice. It is a fact! Yes, you want to encircle the infinite with a wall and you fear to cast a glance behind the wall. Yes, sir! And if ever you should glance beyond the wall you would be dazzled and close your eyes,—yes,—” “Walls are the foundation of every human—” I began.","""Oh, knowledge! This knowledge of yours is only cowardice. Don't argue, it's true. You're simply trying to enclose infinity behind a wall, and you are terrified to glance outside the wall. Yes! Just try and take a look, and you will shut your eyes. Yes!""","“Oh come on—knowledge! This knowledge of yours is utter cowardice. Yes, that’s it—really. You just want to build a little wall around infinity—and you’re afraid to look behind it! Yes. Peek over it and you’ll have to squeeze your eyes shut—ha!”","“Knowledge! What does that mean? Your knowledge is nothing but cowardice. No, really, that’s all it is. You just want to put a little wall around infinity. And you’re afraid to look on the other side of that wall. It’s the truth. You look and you screw up your eyes. You do!”","“Oh, to the deuce with knowledge. Your much-heralded knowledge is but a form of cowardice. It is a fact! Yes, you want to encircle the infinite with a wall, and you fear to cast a glance behind the wall. Yes, sir! And if ever you should glance beyond the wall, you would be dazzled and close your eyes—yes—” “Walls are the foundation of every human,” I began."
"Копья ресниц отодвигаются, пропускают меня внутрь – и… Как рассказать то, что со мною делает этот древний, нелепый, чудесный обряд, когда ее губы касаются моих? Какой формулой выразить этот, все, кроме нее, в душе выметающий вихрь? Да, да, в душе – смейтесь, если хотите.","The spears of the eyelashes move away, let me inside - and ... How can I tell what this ancient, ridiculous, wonderful rite does to me when her lips touch mine? What formula can express this whirlwind that sweeps away everything in the soul, everything except her? Yes, yes, in the shower - laugh if you want.","The spears of her eyelashes moved apart to let me in and ... how can I describe what effect that ancient, absurd and wonderful rite has upon me when her lips touch mine? Can I find a formula to express that whirlwind which sweeps out of my soul everything, everything save her? Yes, yes from my soul. You may laugh at me if you will.","The spears of her eyelashes spread open, they let me in— and ... How describe what it does to me— this ancient, absurd, miraculous ritual, when her lips touch mine? What formula can express the storm that sweeps everything out of my soul but her? Yes, yes, my soul—laugh if you will.","The javelins of her eyelashes move apart, letting me inside and … How can I explain what this ancient, ridiculous, miraculous rite does to me, when her lips touch mine? What formula could express this whirlwind that clears my soul of everything except her? Yes, my soul, yes … laugh if you want to.","The lances of her lashes move apart to let me pass inside ... and ... But how can I find words for what it does to me, this ancient rite, stupid and wonderful, of her lips touching mine? What formula could express how this whirlwind sweeps everything out of my soul, except her? Yes, yes—I said soul. If you want to laugh, go ahead.","The spears of her eyelashes moved apart to let me in and … How can I describe what effect that ancient, absurd, and wonderful rite has upon me when her lips touch mine? Can I find a formula to express that whirlwind which sweeps out of my soul everything, everything save her? Yes, yes, from my soul. You may laugh at me if you will."
"Милая О! – мне всегда это казалось – что она похожа на свое имя: сантиметров на 10 ниже Материнской Нормы – и оттого вся кругло обточенная, и розовое О – рот – раскрыт навстречу каждому моему слову. И еще: круглая, пухлая складочка на запястье руки – такие бывают у детей.","Sweet Oh! - it always seemed to me - that she looks like her name: 10 centimeters below the Maternal Norm - and that is why she is all round-turned, and the pink O - mouth - is open to meet my every word. And one more thing: a round, puffy fold on the wrist - such things happen in children.","Dear O—! She always seems to me to look like her name, O—. She is approximately ten centimeters shorter than the required Maternal Norm. Therefore she appears all round; the rose-colored O of her lips is open to meet every word of mine. She has a round soft dimple on her wrist. Children have such dimples.","Dear O! It always seems to me that she looks exactly like her name: about ten centimeters shorter than the Maternal Norm, and therefore carved in the round, all of her, with that pink O, her mouth, open to meet every word I say. And also, that round, plump fold on her wrist, like a baby's.","Sweet O! It has always seemed to me that she looks like her name: she is about ten centimeters below the Maternal Norm, which makes her lines all rounded, and a pink O—her mouth—is open to receive my every word. Also: there are round, chubby creases around her wrists—such as you see on the wrists of children.","Dear O! It always struck me that she looks like her name: about ten centimeters shorter than the Maternal Norm, and therefore sort of rounded all over, and the pink O of her mouth, open to greet every word I say. And also, she has a sort of circular, puffy crease at her wrist, the way children have.","Dear O-! She always seems to me to look like her name, O-. She is approximately ten centimeters shorter than the required Maternal Norm. Therefore she appears round all over; the rose-colored O of her lips is open to meet every word of mine. She has a round soft dimple on her wrist. Children have such dimples."
"Но она спокойно дымила, спокойно поглядывала на меня и небрежно стряхнула пепел – на мой розовый билетик.","But she calmly smoked, calmly glanced at me and casually shook off the ashes - on my pink ticket.",But she continued to produce smoke very calmly; calmly she looked at me; and nonchalantly she flicked ashes on the pink check!,"But she puffed calmly, glancing at me calmly, and carelessly shook off the ash—on my pink coupon.","But she calmly smoked, calmly looking at me, and carelessly flicked her ash on my pink ticket.",But she went on calmly smoking and calmly glancing at me and ... knocked off some ashes on my pink ticket.,But she continued to produce smoke very calmly; calmly she looked at me; and nonchalantly she flicked ashes on the pink check!
